epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,402.483,0.61182,0.39063,1.06343,0.9725,1,0.99454,0.87923,0.5928,0.34397,0.98221,0.0003566,0.0003566,0.0003566
85,407.425,0.60939,0.39162,1.05793,1,0.99932,0.995,0.8767,0.57015,0.31581,0.97075,0.0003368,0.0003368,0.0003368
86,412.15,0.60231,0.38953,1.05664,0.97294,0.99886,0.99389,0.87634,0.56486,0.32298,0.97342,0.000317,0.000317,0.000317
87,416.898,0.59248,0.38242,1.05148,0.96395,0.99021,0.99317,0.87641,0.55603,0.32123,0.96988,0.0002972,0.0002972,0.0002972
88,421.636,0.59791,0.38395,1.05282,0.98178,0.99792,0.99454,0.8662,0.56274,0.33571,0.96428,0.0002774,0.0002774,0.0002774
89,426.375,0.57884,0.37362,1.04348,0.97156,0.99074,0.99426,0.87906,0.54566,0.32531,0.95709,0.0002576,0.0002576,0.0002576
90,431.102,0.59556,0.37972,1.05662,0.99775,0.99074,0.995,0.88449,0.54706,0.33754,0.95823,0.0002378,0.0002378,0.0002378
91,437.178,0.54045,0.36431,1.07419,0.97265,0.98784,0.99342,0.86411,0.61099,0.34813,0.99342,0.000218,0.000218,0.000218
92,441.88,0.50266,0.30366,1.03644,0.98178,0.99772,0.99463,0.87605,0.56365,0.3419,0.97517,0.0001982,0.0001982,0.0001982
93,446.554,0.49217,0.31057,1.05322,0.96164,1,0.99381,0.88026,0.56062,0.33906,0.96681,0.0001784,0.0001784,0.0001784
94,451.238,0.49107,0.29677,1.0344,0.99073,0.98946,0.99435,0.88021,0.56147,0.34369,0.96938,0.0001586,0.0001586,0.0001586
95,455.916,0.48085,0.29439,1.03899,0.98548,0.98148,0.99472,0.88574,0.55362,0.33026,0.96652,0.0001388,0.0001388,0.0001388
96,460.801,0.46142,0.28052,1.01393,0.99974,0.99074,0.995,0.88108,0.56578,0.33355,0.96681,0.000119,0.000119,0.000119
97,465.478,0.45787,0.28258,1.01859,0.9907,0.98665,0.99491,0.8778,0.55759,0.32562,0.96059,9.92e-05,9.92e-05,9.92e-05
98,470.164,0.45337,0.27497,1.02144,0.98041,0.99074,0.99463,0.88016,0.54861,0.32447,0.95623,7.94e-05,7.94e-05,7.94e-05
99,474.847,0.46552,0.28194,1.02375,0.98865,0.97222,0.99427,0.8774,0.55006,0.32544,0.95653,5.96e-05,5.96e-05,5.96e-05
100,479.526,0.44582,0.27596,1.00895,0.98004,0.99074,0.99472,0.88869,0.55406,0.33375,0.95773,3.98e-05,3.98e-05,3.98e-05
